,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
1979,2805-EDJPQ,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),99.75,5608.4,Female,0,1,1,56,1,Yes
1980,2806-MLNTI,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),105.1,5376.4,Male,1,1,0,52,1,Yes
1981,2808-CHTDM,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.1,611.45,Female,0,1,1,23,1,Yes
1982,2809-ILCYT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,26.8,733.55,Female,0,1,0,25,1,Yes
1983,2809-ZMYOQ,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,101.35,3334.9,Female,0,0,0,32,1,Yes
1984,2810-FTLEM,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,50.15,762.25,Female,0,0,0,16,1,No
1985,2811-POVEX,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),88.45,2130.55,Female,1,1,1,23,1,No
1986,2812-ENYMO,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,0,Credit card (automatic),54.55,1362.85,Male,0,0,0,26,0,No phone service
1987,2812-REYAT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.05,923.1,Female,0,1,0,49,1,No
1988,2812-SFXMJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,20.05,Male,0,0,1,1,1,No
1989,2815-CPTUL,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.25,331.9,Male,1,0,0,5,1,No
1990,2817-LVCPP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1023.95,Female,0,0,0,50,1,No
1991,2817-NTQDO,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),45.55,597,Male,0,0,0,13,0,No phone service
1992,2819-GWENI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.9,543,Female,0,1,1,28,1,No
1993,2821-WARNZ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.45,921.3,Female,0,0,1,49,1,No
1994,2823-LKABH,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),95.05,1679.4,Female,0,0,0,18,1,Yes
1995,2824-DXNKN,No,DSL,Yes,No,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),71.45,5025.85,Female,0,1,1,72,1,Yes
1996,2824-MYYBN,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.25,3314.15,Female,0,1,1,37,1,Yes
1997,2826-DXLQO,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.8,220.45,Male,1,1,0,7,0,No phone service
1998,2826-UWHIS,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),81.4,3775.85,Male,0,1,0,45,1,Yes
1999,2828-SLQPF,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),45.0,865.85,Male,0,0,0,19,1,No
2000,2829-HYVZP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.8,572.2,Male,0,0,0,29,1,No
2001,2830-LEWOA,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),103.9,6449.15,Male,0,1,1,61,1,No
2002,2831-EBWRN,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.9,199.75,Male,0,0,0,4,1,No
2003,2832-KJCRD,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,103.65,3988.5,Female,0,0,0,38,1,Yes
2004,2832-SCUCO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.9,57.4,Female,0,0,0,2,1,No
2005,2833-SLKDQ,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.05,45.05,Male,0,0,0,1,1,No
2006,2834-JKOOW,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,45.9,693.45,Female,0,0,0,15,0,No phone service
2007,2834-JRTUA,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.05,7532.15,Male,0,0,0,71,1,Yes
2008,2834-SPCJV,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,0,Electronic check,84.1,4348.65,Male,0,1,0,52,1,No
2009,2839-RFSQE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.65,38.7,Female,0,0,0,2,1,No
2010,2840-XANRC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,93.15,2231.05,Male,1,1,0,24,1,No
2011,2842-BCQGE,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.35,3161.4,Male,0,0,0,43,1,Yes
2012,2842-JTCCU,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),46.05,80.35,Male,0,0,0,2,1,No
2013,2843-CQMEG,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,49.7,1218.25,Male,0,0,0,24,1,No
2014,2845-AFFTX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,4259.3,Male,1,1,0,41,1,Yes
2015,2845-HSJCY,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,87.25,1258.6,Female,0,1,1,14,1,Yes
2016,2845-KDHVX,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Mailed check,68.3,4378.8,Female,0,1,0,64,1,No
2017,2848-YXSMW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,Male,0,1,1,72,1,No
2018,2851-MMUTZ,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,56.15,1439.35,Female,0,0,0,27,1,No
2019,2851-STERV,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,73.0,2471.25,Male,1,0,0,35,1,No
2020,2853-CWQFQ,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Mailed check,59.55,59.55,Male,0,0,1,1,1,No
2021,2855-QOWGP,no info,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,103.8,3470.8,Male,0,0,1,34,1,Yes
2022,2856-HYAPG,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,68.65,68.65,Female,0,0,0,1,1,No
2023,2856-NNASM,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,89.55,3856.75,Male,1,0,0,43,1,No
2024,2858-EIMXH,No,Fiber optic,No,No,No,No,Yes,Yes,One year,1,Credit card (automatic),95.85,5016.25,Female,1,1,0,53,1,Yes
2025,2858-MOFSQ,Yes,DSL,No,No,Yes,No,No,No,One year,1,Mailed check,55.85,937.5,Female,0,0,1,17,1,Yes
2026,2860-RANUS,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),85.8,1727.5,Female,1,0,0,20,1,Yes
2027,2862-JVEOY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.15,124.4,Male,0,0,0,6,1,No
2028,2862-PFNIK,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.7,24.7,Male,0,0,1,1,0,No phone service
2029,2863-IMQDR,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,89.65,5308.7,Female,0,0,0,61,1,Yes
2030,2865-TCHJW,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,89.2,346.2,Female,1,0,0,4,1,Yes
2031,2866-IKBTM,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,19.55,Female,0,0,0,1,1,No
2032,2867-UIMSS,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.5,80.5,Male,0,0,0,1,1,No
2033,2868-LLSKM,No,Fiber optic,No,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),83.65,5733.4,Female,0,1,1,68,1,Yes
2034,2868-MZAGQ,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,79.25,79.25,Male,0,0,0,1,1,No
2035,2868-SNELZ,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Mailed check,80.6,155.8,Female,0,0,0,2,1,Yes
2036,2869-ADAWR,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.3,4016.85,Female,0,0,0,45,1,Yes
2037,2873-ZLIWT,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Electronic check,84.85,3303.05,Female,0,1,1,40,1,Yes
2038,2874-YXVVA,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.1,3634.8,Female,0,0,0,34,1,No
2039,2876-GZYZC,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,1215.65,Female,0,0,0,13,1,Yes
2040,2876-VBBBL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.25,20.25,Female,0,0,0,1,1,No
2041,2877-VDUER,No,DSL,No,No,No,Yes,Yes,No,One year,0,Mailed check,40.9,1383.6,Female,0,1,1,35,0,No phone service
2042,2878-DHMIN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.9,666,Male,0,1,1,35,1,No
2043,2878-RMWXY,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),102.65,7550.3,Male,1,1,0,72,1,Yes
2044,2880-FPNAE,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,74.2,140.1,Male,1,1,0,2,1,No
2045,2882-DDZPG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.45,227.45,Female,0,0,0,12,1,No
2046,2882-WDTBA,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),75.75,5388.15,Male,0,1,1,69,1,No
2047,2883-ILGWO,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.9,5913.95,Male,1,0,0,57,1,Yes
2048,2884-GBPFB,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.3,2416.55,Female,0,1,0,35,1,No
2049,2885-HIJDH,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),86.9,6194.1,Male,0,1,1,69,1,Yes
2050,2886-KEFUM,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,107.5,6873.75,Female,0,1,0,63,1,Yes
2051,2887-JPYLU,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.2,1841.9,Female,0,0,1,41,1,No
2052,2888-ADFAO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),21.3,1041.8,Female,0,1,1,47,1,No
2053,2889-FPWRM,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),117.8,8684.8,Male,0,1,0,72,1,Yes
2054,2890-WFBHU,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,0,Credit card (automatic),79.85,4786.1,Female,0,0,0,59,1,Yes
2055,2892-GESUL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.35,309.25,Female,0,1,1,18,1,No
2056,2894-QOJRX,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),34.0,853,Female,0,1,0,25,0,No phone service
2057,2896-TBNBE,No,Fiber optic,No,Yes,Yes,No,No,No,One year,0,Electronic check,80.8,3132.75,Male,0,1,0,40,1,No
2058,2897-DOVND,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.8,146.65,Male,0,0,0,2,1,No
2059,2898-LSJGD,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,1,Electronic check,55.95,1157.05,Female,0,1,1,21,0,No phone service
2060,2898-MRKPI,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),101.05,6770.5,Male,0,1,1,68,1,Yes
2061,2900-PHPLN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.55,1462.05,Female,1,1,0,70,1,No
2062,2903-YYTBW,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.55,44.55,Male,0,1,1,1,1,No
2063,2904-GGUAZ,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,1,Bank transfer (automatic),84.05,6052.25,Female,0,1,0,72,1,Yes
2064,2905-KFQUV,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),70.4,154.8,Female,0,1,0,2,1,No
2065,2907-ILJBN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,233.9,Female,0,1,1,11,1,No
2066,2908-WGAXL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.95,1468.9,Female,0,1,1,56,1,Yes
2067,2908-ZTPNF,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),34.85,1267.2,Female,0,0,0,36,0,No phone service
2068,2911-IJORQ,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),90.6,3358.65,Male,0,0,0,37,1,Yes
2069,2911-UREFD,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,55.9,2184.35,Female,0,1,0,39,0,No phone service
2070,2911-WDXMV,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),80.55,1406.65,Male,0,0,1,18,1,Yes
2071,2916-BQZLN,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Electronic check,84.75,1651.95,Male,0,0,0,19,1,Yes
2072,2919-HBCJO,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),76.65,333.6,Female,0,0,0,4,1,No
2073,2920-RNCEZ,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),69.95,69.95,Male,0,1,1,1,1,No
2074,2921-XWDJH,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,83.45,3147.15,Female,1,1,0,38,1,No
2075,2923-ARZLG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.7, ,Male,0,1,1,0,1,No
2076,2924-KHUVI,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Electronic check,100.55,5514.95,Male,0,1,0,56,1,Yes
2077,2925-MXLSX,No,DSL,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),68.95,2038.7,Female,0,0,0,30,1,Yes
2078,2925-VDZHY,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),88.7,6501.35,Male,0,1,1,72,1,Yes
2079,2926-JEJJC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.2,140.95,Female,0,0,0,8,1,No
2080,2927-CVULT,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),104.05,5566.4,Female,0,1,1,53,1,Yes
2081,2927-QRRQV,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,94.65,4312.5,Male,0,1,0,46,1,Yes
2082,2928-HLDBA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,Female,0,0,0,6,1,No
2083,2929-ERCFZ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.2,777.3,Female,0,1,1,8,1,No
2084,2929-QNSRW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Electronic check,98.25,5508.35,Female,0,1,0,56,1,Yes
2085,2930-UOTMB,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),65.25,1994.3,Female,0,0,0,31,1,Yes
2086,2931-FSOHN,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,59.9,788.35,Male,1,0,0,13,1,No
2087,2931-SVLTV,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),110.1,4469.1,Male,0,1,1,40,1,Yes
2088,2931-VUVJN,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,1,Electronic check,94.05,5483.9,Female,1,1,0,59,1,Yes
2089,2931-XIQBR,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,103.05,5153.5,Female,0,1,1,50,1,No
2090,2933-FILNV,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,24.4,36.55,Female,0,1,1,2,0,No phone service
2091,2933-XEUJM,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,0,Mailed check,79.2,3593.8,Female,0,0,0,46,1,Yes
2092,2937-FTHUR,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Electronic check,64.8,1166.7,Female,0,0,1,18,1,Yes
2093,2946-KIQSP,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,33.45,1175.85,Female,0,0,0,35,0,No phone service
2094,2947-DOMLJ,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.6,50.6,Male,0,0,1,1,1,No
2095,2951-QOQTK,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),80.8,332.45,Male,0,0,1,4,1,Yes
2096,2952-QAYZF,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.3,424.15,Male,0,0,0,5,1,Yes
2097,2954-PIBKO,No,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,Female,0,1,1,69,1,Yes
2098,2955-BJZHG,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,80.85,1400.85,Male,0,1,1,17,1,No
2099,2955-PSXOE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.2,20.2,Female,0,0,0,1,1,No
2100,2956-GGUCQ,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.85,1772.25,Male,1,1,0,24,1,Yes
2101,2956-MHLSX,no info,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,50.8,50.8,Male,0,0,0,1,1,No
2102,2957-JIRMN,No,Fiber optic,No,No,No,No,Yes,No,One year,0,Electronic check,84.45,4959.15,Female,1,0,0,62,1,Yes
2103,2957-LOLHO,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),45.4,518.9,Male,0,0,0,12,1,No
2104,2958-NHPPS,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.85,473.9,Male,0,0,0,23,1,No
2105,2959-EEXWB,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),50.9,2333.85,Female,0,1,1,45,0,No phone service
2106,2959-FENLU,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),85.3,781.4,Female,0,0,0,9,1,No
2107,2959-MJHIC,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.35,307.4,Male,0,1,0,4,1,No
2108,2960-NKRSO,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,1,Electronic check,85.95,2107.15,Male,0,0,0,24,1,No
2109,2961-VNFKL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.95,1801.9,Female,0,1,0,71,1,Yes
2110,2962-XPMCQ,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.15,98.5,Male,0,0,0,2,1,No
2111,2967-MXRAV,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,18.8,18.8,Male,0,1,1,1,1,No
2112,2968-SSGAA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.6,1060.2,Female,0,0,0,10,1,Yes
2113,2969-QWUBZ,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,51.4,96.8,Female,0,0,0,2,0,No phone service
2114,2969-VAPYH,No,DSL,Yes,Yes,No,Yes,No,No,One year,0,Credit card (automatic),60.5,3870,Female,0,0,0,67,1,No
2115,2969-WGHQO,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,0,Electronic check,69.45,477.05,Female,0,1,1,7,1,No
2116,2971-SGAFL,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,78.75,995.35,Female,0,0,0,13,1,Yes
2117,2972-YDYUW,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,0,Electronic check,94.7,5468.95,Female,0,0,0,57,1,Yes
2118,2974-GGUXS,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),91.95,3301.05,Female,1,1,0,36,1,Yes
2119,2977-CEBSX,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.05,5965.95,Female,0,0,0,66,1,Yes
2120,2978-XXSOG,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Mailed check,59.05,1253.5,Female,0,0,0,22,1,Yes
2121,2979-SXESE,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.4,1607.2,Female,0,1,1,17,1,Yes
2122,2982-IHMFT,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,74.45,Female,1,0,0,1,1,Yes
2123,2982-VPSGI,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.0,1078.9,Female,0,1,0,11,1,Yes
2124,2983-ZANRP,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),73.55,145.4,Female,0,1,1,2,1,No
2125,2984-AFWNC,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,95.4,293.15,Female,0,0,0,3,1,No
2126,2984-MIIZL,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),74.8,321.9,Male,0,0,0,4,1,No
2127,2984-RGEYA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,1375.4,Female,0,1,1,69,1,No
2128,2984-TBYKU,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),104.9,7732.65,Male,0,1,1,72,1,Yes
2129,2985-FMWYF,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.5,2341.55,Female,0,0,0,23,1,Yes
2130,2985-JUUBZ,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,74.55,3015.75,Male,0,1,1,40,1,Yes
2131,2987-BJXIK,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Mailed check,84.7,5991.05,Female,0,0,0,70,1,Yes
2132,2988-GBIVW,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,90.85,6470.1,Female,1,1,0,70,1,Yes
2133,2988-PLAHS,No,DSL,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,69.95,220.45,Female,0,0,0,3,1,No
2134,2988-QRAJY,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),110.05,7430.75,Male,0,0,0,69,1,Yes
2135,2990-HWIML,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.5,573.3,Female,0,0,0,6,1,No
2136,2990-IAJSV,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.0,6632.75,Male,0,0,0,72,1,Yes
2137,2990-OGYTD,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),86.15,5883.85,Female,0,1,0,67,1,Yes
2138,2991-OKAXW,no info,DSL,No,Yes,Yes,No,Yes,Yes,One year,1,Mailed check,53.95,2375.4,Male,0,0,0,44,0,No phone service
2139,2995-UPRYS,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),99.2,4062.2,Female,1,1,0,40,1,No
2140,2995-YWTCD,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.9,467.7,Female,0,1,1,19,1,Yes
2141,2996-XAUVF,No,DSL,No,No,No,Yes,No,Yes,Two year,1,Mailed check,40.05,2799.75,Male,0,0,0,70,0,No phone service
2142,2999-AANRQ,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,0,Credit card (automatic),71.05,1524.85,Female,0,0,0,21,1,No
2143,3001-CBHLQ,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.9,3351.55,Male,1,1,0,32,1,Yes
2144,3001-UNBTL,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.95,2964.8,Male,1,1,1,29,1,Yes
2145,3002-WQZWT,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.2,1993.25,Female,0,0,0,29,1,Yes
2146,3003-CMDUU,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,95.15,2395.7,Female,0,1,0,25,1,No
2147,3005-NFMTA,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,98.8,5617.75,Male,1,0,0,55,1,Yes
2148,3005-TYFRD,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),103.65,5676.65,Female,0,1,0,55,1,Yes
2149,3006-XIMLN,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.2,193.8,Female,0,0,1,2,1,Yes
2150,3007-FDPEA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),20.7,39.85,Female,0,0,0,2,1,No
2151,3007-KYUNZ,no info,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.6,485.9,Female,0,1,1,19,1,Yes
2152,3009-JWMPU,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,96.75,6125.4,Male,0,0,0,62,1,Yes
2153,3011-WQKSZ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.0,377.55,Male,0,0,1,19,1,No
